video_id,frames,gt_chars,pred_chars,correct,substitutions,deletions,insertions,cer,precision,recall,f1
7624633114488433990,109,358,262,186,51,121,25,0.5502793296089385,0.7099236641221374,0.5195530726256983,0.6
7624701545757957766,156,267,370,234,30,3,106,0.5205992509363296,0.6324324324324324,0.8764044943820225,0.7346938775510203
7625472985927237489,77,28,23,21,2,5,0,0.25,0.9130434782608695,0.75,0.8235294117647057
7625261726909372089,95,145,142,125,1,19,16,0.2482758620689655,0.8802816901408451,0.8620689655172413,0.8710801393728222
7625248139076178405,121,146,312,97,47,2,168,1.4863013698630136,0.3108974358974359,0.6643835616438356,0.42358078602620086
7625060323589901610,21,82,32,32,0,50,0,0.6097560975609756,1.0,0.3902439024390244,0.5614035087719299
7624835939831155313,82,21,344,12,9,0,323,15.80952380952381,0.03488372093023256,0.5714285714285714,0.06575342465753425
7624158707772886307,61,1416,1889,282,1074,60,533,1.1772598870056497,0.14928533615669667,0.19915254237288135,0.17065052950075643
7625859506869685510,164,118,96,43,33,42,20,0.8050847457627118,0.4479166666666667,0.3644067796610169,0.40186915887850466
7624978356999556392,30,23,22,22,0,1,0,0.043478260869565216,1.0,0.9565217391304348,0.9777777777777777
7625645779021057343,87,108,153,94,14,0,45,0.5462962962962963,0.6143790849673203,0.8703703703703703,0.7203065134099618
7624365247414963496,35,271,56,56,0,215,0,0.7933579335793358,1.0,0.2066420664206642,0.3425076452599388
7625253704698556297,21,22,20,20,0,2,0,0.09090909090909091,1.0,0.9090909090909091,0.9523809523809523
7625596926242589992,188,390,431,359,7,24,65,0.24615384615384617,0.8329466357308585,0.9205128205128205,0.8745432399512789
7625596895951342883,160,240,292,236,4,0,52,0.23333333333333334,0.8082191780821918,0.9833333333333333,0.8872180451127819
7623635835480807921,92,132,153,128,3,1,22,0.19696969696969696,0.8366013071895425,0.9696969696969697,0.8982456140350877
7625961573442537642,95,132,144,127,3,2,14,0.14393939393939395,0.8819444444444444,0.9621212121212122,0.9202898550724637
7624365144738434356,185,121,132,120,1,0,11,0.09917355371900827,0.9090909090909091,0.9917355371900827,0.9486166007905139
7625577755723809649,216,241,292,224,17,0,51,0.2821576763485477,0.7671232876712328,0.9294605809128631,0.8405253283302063
7624367685719084323,217,222,257,203,6,13,48,0.30180180180180183,0.7898832684824902,0.9144144144144144,0.847599164926931
7623672029838108314,64,37,49,34,3,0,12,0.40540540540540543,0.6938775510204082,0.918918918918919,0.7906976744186046
7625525065970724069,148,223,221,221,0,2,0,0.008968609865470852,1.0,0.9910313901345291,0.9954954954954954
7625859643503381779,221,382,392,360,10,12,22,0.11518324607329843,0.9183673469387755,0.9424083769633508,0.9302325581395349
7623747299428477864,183,166,218,139,23,4,56,0.5,0.6376146788990825,0.8373493975903614,0.7239583333333333
7625881216968920371,115,116,142,98,17,1,27,0.3879310344827586,0.6901408450704225,0.8448275862068966,0.7596899224806202
