video_id,frames,gt_chars,pred_chars,correct,substitutions,deletions,insertions,cer,precision,recall,f1
7624633114488433990,109,358,349,191,90,77,68,0.6564245810055865,0.5472779369627507,0.5335195530726257,0.5403111739745403
7624701545757957766,156,267,413,238,26,3,149,0.6666666666666666,0.576271186440678,0.8913857677902621,0.7
7625472985927237489,77,28,23,21,2,5,0,0.25,0.9130434782608695,0.75,0.8235294117647057
7625261726909372089,95,145,147,125,1,19,21,0.2827586206896552,0.8503401360544217,0.8620689655172413,0.8561643835616437
7625248139076178405,121,146,362,100,44,2,218,1.8082191780821917,0.27624309392265195,0.684931506849315,0.39370078740157477
7625060323589901610,21,82,50,49,1,32,0,0.4024390243902439,0.98,0.5975609756097561,0.7424242424242423
7624835939831155313,82,21,569,12,9,0,548,26.523809523809526,0.0210896309314587,0.5714285714285714,0.04067796610169492
7624158707772886307,61,1416,2008,327,1050,39,631,1.2146892655367232,0.16284860557768924,0.2309322033898305,0.19100467289719622
7625859506869685510,164,118,101,41,40,37,20,0.8220338983050848,0.40594059405940597,0.3474576271186441,0.3744292237442922
7624978356999556392,30,23,22,22,0,1,0,0.043478260869565216,1.0,0.9565217391304348,0.9777777777777777
7625645779021057343,87,108,177,94,14,0,69,0.7685185185185185,0.5310734463276836,0.8703703703703703,0.6596491228070175
7624365247414963496,35,271,56,56,0,215,0,0.7933579335793358,1.0,0.2066420664206642,0.3425076452599388
7625253704698556297,21,22,20,20,0,2,0,0.09090909090909091,1.0,0.9090909090909091,0.9523809523809523
7625596926242589992,188,390,445,359,7,24,79,0.28205128205128205,0.8067415730337079,0.9205128205128205,0.859880239520958
7625596895951342883,160,240,309,237,3,0,69,0.3,0.7669902912621359,0.9875,0.8633879781420766
7623635835480807921,92,132,159,129,2,1,28,0.23484848484848486,0.8113207547169812,0.9772727272727273,0.88659793814433
7625961573442537642,95,132,150,127,3,2,20,0.1893939393939394,0.8466666666666667,0.9621212121212122,0.9007092198581561
7624365144738434356,185,121,132,120,1,0,11,0.09917355371900827,0.9090909090909091,0.9917355371900827,0.9486166007905139
7625577755723809649,216,241,302,224,17,0,61,0.3236514522821577,0.7417218543046358,0.9294605809128631,0.8250460405156538
7624367685719084323,217,222,263,198,17,7,48,0.32432432432432434,0.752851711026616,0.8918918918918919,0.8164948453608247
7623672029838108314,64,37,49,34,3,0,12,0.40540540540540543,0.6938775510204082,0.918918918918919,0.7906976744186046
7625525065970724069,148,223,221,221,0,2,0,0.008968609865470852,1.0,0.9910313901345291,0.9954954954954954
7625859643503381779,221,382,403,366,10,6,27,0.112565445026178,0.9081885856079405,0.9581151832460733,0.932484076433121
7623747299428477864,183,166,218,139,23,4,56,0.5,0.6376146788990825,0.8373493975903614,0.7239583333333333
7625881216968920371,115,116,160,98,17,1,45,0.5431034482758621,0.6125,0.8448275862068966,0.7101449275362319
