video_id,frames,kept_frames,skipped_frames,gt_chars,pred_chars,correct,substitutions,deletions,insertions,cer,precision,recall,f1
7624633114488433990,109,62,47,358,383,183,118,57,82,0.7178770949720671,0.47780678851174935,0.5111731843575419,0.49392712550607293
7624701545757957766,156,90,33,267,476,244,21,2,211,0.8764044943820225,0.5126050420168067,0.9138576779026217,0.6567967698519516
7625472985927237489,77,4,5,28,23,21,2,5,0,0.25,0.9130434782608695,0.75,0.8235294117647057
7625261726909372089,95,43,26,145,163,131,2,12,30,0.30344827586206896,0.803680981595092,0.903448275862069,0.8506493506493507
7625248139076178405,121,57,8,146,363,100,44,2,219,1.8150684931506849,0.27548209366391185,0.684931506849315,0.39292730844793716
7625060323589901610,21,9,10,82,50,49,1,32,0,0.4024390243902439,0.98,0.5975609756097561,0.7424242424242423
7624835939831155313,82,73,9,21,853,12,9,0,832,40.04761904761905,0.01406799531066823,0.5714285714285714,0.027459954233409613
7624158707772886307,61,57,4,1416,2463,498,856,62,1109,1.4314971751412429,0.20219244823386115,0.3516949152542373,0.2567672080433101
7625859506869685510,164,18,130,118,104,41,42,35,21,0.8305084745762712,0.3942307692307692,0.3474576271186441,0.3693693693693693
7624978356999556392,30,4,5,23,32,23,0,0,9,0.391304347826087,0.71875,1.0,0.8363636363636363
7625645779021057343,87,32,21,108,187,96,12,0,79,0.8425925925925926,0.5133689839572193,0.8888888888888888,0.6508474576271187
7624365247414963496,35,12,14,271,56,56,0,215,0,0.7933579335793358,1.0,0.2066420664206642,0.3425076452599388
7625253704698556297,21,3,5,22,20,20,0,2,0,0.09090909090909091,1.0,0.9090909090909091,0.9523809523809523
7625596926242589992,188,73,60,390,466,359,11,20,96,0.32564102564102565,0.7703862660944206,0.9205128205128205,0.838785046728972
7625596895951342883,160,65,39,240,342,236,4,0,102,0.44166666666666665,0.6900584795321637,0.9833333333333333,0.8109965635738831
7623635835480807921,92,34,29,132,212,132,0,0,80,0.6060606060606061,0.6226415094339622,1.0,0.7674418604651162
7625961573442537642,95,26,56,132,152,128,3,1,21,0.1893939393939394,0.8421052631578947,0.9696969696969697,0.9014084507042254
7624365144738434356,185,31,23,121,142,121,0,0,21,0.17355371900826447,0.852112676056338,1.0,0.9201520912547528
7625577755723809649,216,51,64,241,314,223,17,1,74,0.3817427385892116,0.7101910828025477,0.9253112033195021,0.8036036036036036
7624367685719084323,217,64,55,222,274,198,21,3,55,0.35585585585585583,0.7226277372262774,0.8918918918918919,0.7983870967741936
7623672029838108314,64,14,16,37,53,34,3,0,16,0.5135135135135135,0.6415094339622641,0.918918918918919,0.7555555555555555
7625525065970724069,148,39,45,223,221,221,0,2,0,0.008968609865470852,1.0,0.9910313901345291,0.9954954954954954
7625859643503381779,221,78,74,382,432,368,9,5,55,0.1806282722513089,0.8518518518518519,0.9633507853403142,0.9041769041769042
7623747299428477864,183,47,43,166,232,147,16,3,69,0.5301204819277109,0.6336206896551724,0.8855421686746988,0.7386934673366833
7625881216968920371,115,31,18,116,207,99,17,0,91,0.9310344827586207,0.4782608695652174,0.853448275862069,0.6130030959752323
