video_id,frames,kept_frames,skipped_frames,gt_chars,pred_chars,correct,substitutions,deletions,insertions,cer,precision,recall,f1
7624633114488433990,109,67,42,358,417,187,122,49,108,0.7793296089385475,0.44844124700239807,0.5223463687150838,0.48258064516129034
7624701545757957766,156,96,27,267,520,245,20,2,255,1.0374531835205993,0.47115384615384615,0.9176029962546817,0.6226175349428209
7625472985927237489,77,5,4,28,32,21,2,5,9,0.5714285714285714,0.65625,0.75,0.7
7625261726909372089,95,43,26,145,163,131,2,12,30,0.30344827586206896,0.803680981595092,0.903448275862069,0.8506493506493507
7625248139076178405,121,57,8,146,363,100,44,2,219,1.8150684931506849,0.27548209366391185,0.684931506849315,0.39292730844793716
7625060323589901610,21,9,10,82,50,49,1,32,0,0.4024390243902439,0.98,0.5975609756097561,0.7424242424242423
7624835939831155313,82,73,9,21,853,12,9,0,832,40.04761904761905,0.01406799531066823,0.5714285714285714,0.027459954233409613
7624158707772886307,61,57,4,1416,2463,498,856,62,1109,1.4314971751412429,0.20219244823386115,0.3516949152542373,0.2567672080433101
7625859506869685510,164,18,130,118,104,41,42,35,21,0.8305084745762712,0.3942307692307692,0.3474576271186441,0.3693693693693693
7624978356999556392,30,4,5,23,32,23,0,0,9,0.391304347826087,0.71875,1.0,0.8363636363636363
7625645779021057343,87,32,21,108,187,96,12,0,79,0.8425925925925926,0.5133689839572193,0.8888888888888888,0.6508474576271187
7624365247414963496,35,12,14,271,56,56,0,215,0,0.7933579335793358,1.0,0.2066420664206642,0.3425076452599388
7625253704698556297,21,3,5,22,20,20,0,2,0,0.09090909090909091,1.0,0.9090909090909091,0.9523809523809523
7625596926242589992,188,77,56,390,489,360,15,15,114,0.36923076923076925,0.7361963190184049,0.9230769230769231,0.8191126279863482
7625596895951342883,160,70,34,240,362,238,2,0,122,0.5166666666666667,0.6574585635359116,0.9916666666666667,0.7906976744186047
7623635835480807921,92,34,29,132,212,132,0,0,80,0.6060606060606061,0.6226415094339622,1.0,0.7674418604651162
7625961573442537642,95,26,56,132,152,128,3,1,21,0.1893939393939394,0.8421052631578947,0.9696969696969697,0.9014084507042254
7624365144738434356,185,32,22,121,151,121,0,0,30,0.24793388429752067,0.8013245033112583,1.0,0.8897058823529412
7625577755723809649,216,54,61,241,337,224,17,0,96,0.46887966804979253,0.6646884272997032,0.9294605809128631,0.7750865051903113
7624367685719084323,217,65,54,222,281,198,21,3,62,0.38738738738738737,0.7046263345195729,0.8918918918918919,0.7872763419483102
7623672029838108314,64,14,16,37,53,34,3,0,16,0.5135135135135135,0.6415094339622641,0.918918918918919,0.7555555555555555
7625525065970724069,148,39,45,223,221,221,0,2,0,0.008968609865470852,1.0,0.9910313901345291,0.9954954954954954
7625859643503381779,221,85,67,382,479,369,8,5,102,0.3010471204188482,0.7703549060542797,0.9659685863874345,0.8571428571428572
7623747299428477864,183,51,39,166,244,147,16,3,81,0.6024096385542169,0.6024590163934426,0.8855421686746988,0.7170731707317073
7625881216968920371,115,36,13,116,245,100,16,0,129,1.25,0.40816326530612246,0.8620689655172413,0.554016620498615
