video_id,frames,gt_chars,pred_chars,correct,substitutions,deletions,insertions,cer,precision,recall,f1
7624633114488433990,0,358,192,182,7,169,3,0.5,0.9479166666666666,0.5083798882681564,0.6618181818181819
7624701545757957766,0,267,298,251,9,7,38,0.20224719101123595,0.8422818791946308,0.9400749063670412,0.8884955752212389
7625472985927237489,0,28,556,10,18,0,528,19.5,0.017985611510791366,0.35714285714285715,0.03424657534246575
7625261726909372089,0,145,168,131,2,12,35,0.33793103448275863,0.7797619047619048,0.903448275862069,0.8370607028753994
7625248139076178405,0,146,133,125,6,15,2,0.15753424657534246,0.9398496240601504,0.8561643835616438,0.8960573476702508
7625060323589901610,0,82,36,36,0,46,0,0.5609756097560976,1.0,0.43902439024390244,0.6101694915254238
7624835939831155313,0,21,108,20,1,0,87,4.190476190476191,0.18518518518518517,0.9523809523809523,0.31007751937984496
7624158707772886307,0,1416,771,325,432,659,14,0.780367231638418,0.42153047989623865,0.22951977401129944,0.2972107910379515
7625859506869685510,0,118,44,37,7,74,0,0.6864406779661016,0.8409090909090909,0.3135593220338983,0.4567901234567901
7624978356999556392,0,23,23,23,0,0,0,0.0,1.0,1.0,1.0
7625645779021057343,0,108,77,76,1,31,0,0.2962962962962963,0.987012987012987,0.7037037037037037,0.8216216216216217
7624365247414963496,0,271,56,56,0,215,0,0.7933579335793358,1.0,0.2066420664206642,0.3425076452599388
7625253704698556297,0,22,0,0,0,22,0,1.0,0.0,0.0,0.0
7625596926242589992,0,390,351,340,1,49,10,0.15384615384615385,0.9686609686609686,0.8717948717948718,0.9176788124156545
7625596895951342883,0,240,229,228,0,12,1,0.05416666666666667,0.9956331877729258,0.95,0.9722814498933903
7623635835480807921,0,132,129,129,0,3,0,0.022727272727272728,1.0,0.9772727272727273,0.9885057471264368
7625961573442537642,0,132,153,127,2,3,24,0.2196969696969697,0.8300653594771242,0.9621212121212122,0.8912280701754387
7624365144738434356,0,121,108,104,4,13,0,0.14049586776859505,0.9629629629629629,0.859504132231405,0.908296943231441
7625577755723809649,0,241,252,230,11,0,11,0.0912863070539419,0.9126984126984127,0.9543568464730291,0.9330628803245437
7624367685719084323,0,222,214,190,9,23,15,0.21171171171171171,0.8878504672897196,0.8558558558558559,0.8715596330275229
7623672029838108314,0,37,43,34,3,0,6,0.24324324324324326,0.7906976744186046,0.918918918918919,0.85
7625525065970724069,0,223,204,203,1,19,0,0.08968609865470852,0.9950980392156863,0.9103139013452914,0.9508196721311475
7625859643503381779,0,382,366,363,2,17,1,0.05235602094240838,0.9918032786885246,0.9502617801047121,0.9705882352941178
7623747299428477864,0,166,174,146,7,13,21,0.2469879518072289,0.8390804597701149,0.8795180722891566,0.8588235294117647
7625881216968920371,0,116,98,97,1,18,0,0.16379310344827586,0.9897959183673469,0.8362068965517241,0.9065420560747662
