video_id,frames,kept_frames,skipped_frames,gt_chars,pred_chars,correct,substitutions,deletions,insertions,cer,precision,recall,f1
7624633114488433990,109,68,41,358,428,186,128,44,114,0.7988826815642458,0.43457943925233644,0.5195530726256983,0.47328244274809156
7624701545757957766,156,98,25,267,542,245,20,2,277,1.1198501872659177,0.45202952029520294,0.9176029962546817,0.6056860321384425
7625472985927237489,77,5,4,28,32,21,2,5,9,0.5714285714285714,0.65625,0.75,0.7
7625261726909372089,95,45,24,145,174,131,2,12,41,0.3793103448275862,0.7528735632183908,0.903448275862069,0.8213166144200627
7625248139076178405,121,58,7,146,363,100,44,2,219,1.8150684931506849,0.27548209366391185,0.684931506849315,0.39292730844793716
7625060323589901610,21,10,9,82,50,49,1,32,0,0.4024390243902439,0.98,0.5975609756097561,0.7424242424242423
7624835939831155313,82,80,2,21,931,13,8,0,910,43.714285714285715,0.013963480128893663,0.6190476190476191,0.027310924369747896
7624158707772886307,61,59,2,1416,2465,499,855,62,1111,1.4322033898305084,0.20243407707910752,0.3524011299435028,0.2571502190157176
7625859506869685510,164,18,130,118,104,41,42,35,21,0.8305084745762712,0.3942307692307692,0.3474576271186441,0.3693693693693693
7624978356999556392,30,4,5,23,32,23,0,0,9,0.391304347826087,0.71875,1.0,0.8363636363636363
7625645779021057343,87,33,20,108,197,96,12,0,89,0.9351851851851852,0.4873096446700508,0.8888888888888888,0.6295081967213114
7624365247414963496,35,12,14,271,56,56,0,215,0,0.7933579335793358,1.0,0.2066420664206642,0.3425076452599388
7625253704698556297,21,4,4,22,32,21,0,1,11,0.5454545454545454,0.65625,0.9545454545454546,0.7777777777777778
7625596926242589992,188,81,52,390,530,363,13,14,154,0.4641025641025641,0.6849056603773584,0.9307692307692308,0.7891304347826087
7625596895951342883,160,70,34,240,362,238,2,0,122,0.5166666666666667,0.6574585635359116,0.9916666666666667,0.7906976744186047
7623635835480807921,92,35,28,132,212,132,0,0,80,0.6060606060606061,0.6226415094339622,1.0,0.7674418604651162
7625961573442537642,95,28,54,132,154,128,3,1,23,0.20454545454545456,0.8311688311688312,0.9696969696969697,0.8951048951048951
7624365144738434356,185,32,22,121,151,121,0,0,30,0.24793388429752067,0.8013245033112583,1.0,0.8897058823529412
7625577755723809649,216,66,49,241,425,227,14,0,184,0.8215767634854771,0.5341176470588235,0.941908713692946,0.6816816816816816
7624367685719084323,217,65,54,222,281,198,21,3,62,0.38738738738738737,0.7046263345195729,0.8918918918918919,0.7872763419483102
7623672029838108314,64,14,16,37,53,34,3,0,16,0.5135135135135135,0.6415094339622641,0.918918918918919,0.7555555555555555
7625525065970724069,148,39,45,223,221,221,0,2,0,0.008968609865470852,1.0,0.9910313901345291,0.9954954954954954
7625859643503381779,221,85,67,382,479,369,8,5,102,0.3010471204188482,0.7703549060542797,0.9659685863874345,0.8571428571428572
7623747299428477864,183,51,39,166,244,147,16,3,81,0.6024096385542169,0.6024590163934426,0.8855421686746988,0.7170731707317073
7625881216968920371,115,36,13,116,245,100,16,0,129,1.25,0.40816326530612246,0.8620689655172413,0.554016620498615
