video_id,frames,gt_chars,pred_chars,correct,substitutions,deletions,insertions,cer,precision,recall,f1
7624633114488433990,109,358,380,193,103,62,84,0.6955307262569832,0.5078947368421053,0.5391061452513967,0.5230352303523036
7624701545757957766,156,267,504,243,21,3,240,0.9887640449438202,0.48214285714285715,0.9101123595505618,0.6303501945525292
7625472985927237489,77,28,23,21,2,5,0,0.25,0.9130434782608695,0.75,0.8235294117647057
7625261726909372089,95,145,146,125,1,19,20,0.27586206896551724,0.8561643835616438,0.8620689655172413,0.859106529209622
7625248139076178405,121,146,362,100,44,2,218,1.8082191780821917,0.27624309392265195,0.684931506849315,0.39370078740157477
7625060323589901610,21,82,50,49,1,32,0,0.4024390243902439,0.98,0.5975609756097561,0.7424242424242423
7624835939831155313,82,21,742,12,9,0,721,34.76190476190476,0.016172506738544475,0.5714285714285714,0.031454783748361734
7624158707772886307,61,1416,2134,349,1028,39,757,1.2881355932203389,0.1635426429240862,0.2464689265536723,0.19661971830985914
7625859506869685510,164,118,101,41,40,37,20,0.8220338983050848,0.40594059405940597,0.3474576271186441,0.3744292237442922
7624978356999556392,30,23,32,23,0,0,9,0.391304347826087,0.71875,1.0,0.8363636363636363
7625645779021057343,87,108,177,94,14,0,69,0.7685185185185185,0.5310734463276836,0.8703703703703703,0.6596491228070175
7624365247414963496,35,271,56,56,0,215,0,0.7933579335793358,1.0,0.2066420664206642,0.3425076452599388
7625253704698556297,21,22,20,20,0,2,0,0.09090909090909091,1.0,0.9090909090909091,0.9523809523809523
7625596926242589992,188,390,473,362,14,14,97,0.32051282051282054,0.7653276955602537,0.9282051282051282,0.8389339513325608
7625596895951342883,160,240,327,237,3,0,87,0.375,0.7247706422018348,0.9875,0.8359788359788359
7623635835480807921,92,132,182,129,2,1,51,0.4090909090909091,0.7087912087912088,0.9772727272727273,0.821656050955414
7625961573442537642,95,132,150,127,3,2,20,0.1893939393939394,0.8466666666666667,0.9621212121212122,0.9007092198581561
7624365144738434356,185,121,132,120,1,0,11,0.09917355371900827,0.9090909090909091,0.9917355371900827,0.9486166007905139
7625577755723809649,216,241,335,224,17,0,94,0.4605809128630705,0.6686567164179105,0.9294605809128631,0.7777777777777778
7624367685719084323,217,222,270,198,17,7,55,0.35585585585585583,0.7333333333333333,0.8918918918918919,0.8048780487804879
7623672029838108314,64,37,49,34,3,0,12,0.40540540540540543,0.6938775510204082,0.918918918918919,0.7906976744186046
7625525065970724069,148,223,221,221,0,2,0,0.008968609865470852,1.0,0.9910313901345291,0.9954954954954954
7625859643503381779,221,382,440,368,8,6,64,0.20418848167539266,0.8363636363636363,0.9633507853403142,0.8953771289537712
7623747299428477864,183,166,238,147,15,4,76,0.572289156626506,0.6176470588235294,0.8855421686746988,0.7277227722772277
7625881216968920371,115,116,224,99,16,1,109,1.0862068965517242,0.4419642857142857,0.853448275862069,0.5823529411764706
