video_id,frames,gt_chars,pred_chars,correct,substitutions,deletions,insertions,cer,precision,recall,f1
7624633114488433990,0,358,43,42,1,315,0,0.88268156424581,0.9767441860465116,0.11731843575418995,0.2094763092269327
7624701545757957766,0,267,22,22,0,245,0,0.9176029962546817,1.0,0.08239700374531835,0.1522491349480969
7625472985927237489,0,28,49,8,20,0,21,1.4642857142857142,0.16326530612244897,0.2857142857142857,0.20779220779220778
7625261726909372089,0,145,38,7,31,107,0,0.9517241379310345,0.18421052631578946,0.04827586206896552,0.07650273224043715
7625248139076178405,0,146,63,59,4,83,0,0.5958904109589042,0.9365079365079365,0.4041095890410959,0.5645933014354066
7625060323589901610,0,82,14,14,0,68,0,0.8292682926829268,1.0,0.17073170731707318,0.2916666666666667
7624835939831155313,0,21,21,20,1,0,0,0.047619047619047616,0.9523809523809523,0.9523809523809523,0.9523809523809523
7624158707772886307,0,1416,192,129,63,1224,0,0.9088983050847458,0.671875,0.09110169491525423,0.16044776119402984
7625859506869685510,0,118,7,7,0,111,0,0.940677966101695,1.0,0.059322033898305086,0.112
7624978356999556392,0,23,6,6,0,17,0,0.7391304347826086,1.0,0.2608695652173913,0.41379310344827586
7625645779021057343,0,108,27,27,0,81,0,0.75,1.0,0.25,0.4
7624365247414963496,0,271,7,7,0,264,0,0.974169741697417,1.0,0.025830258302583026,0.050359712230215826
7625253704698556297,0,22,0,0,0,22,0,1.0,0.0,0.0,0.0
7625596926242589992,0,390,33,30,3,357,0,0.9230769230769231,0.9090909090909091,0.07692307692307693,0.14184397163120568
7625596895951342883,0,240,13,13,0,227,0,0.9458333333333333,1.0,0.05416666666666667,0.10276679841897234
7623635835480807921,0,132,30,30,0,102,0,0.7727272727272727,1.0,0.22727272727272727,0.37037037037037035
7625961573442537642,0,132,28,28,0,104,0,0.7878787878787878,1.0,0.21212121212121213,0.35
7624365144738434356,0,121,26,24,2,95,0,0.8016528925619835,0.9230769230769231,0.19834710743801653,0.326530612244898
7625577755723809649,0,241,54,46,5,190,3,0.8215767634854771,0.8518518518518519,0.1908713692946058,0.311864406779661
7624367685719084323,0,222,33,29,4,189,0,0.8693693693693694,0.8787878787878788,0.13063063063063063,0.2274509803921569
7623672029838108314,0,37,26,26,0,11,0,0.2972972972972973,1.0,0.7027027027027027,0.8253968253968255
7625525065970724069,0,223,19,19,0,204,0,0.9147982062780269,1.0,0.08520179372197309,0.15702479338842973
7625859643503381779,0,382,17,17,0,365,0,0.9554973821989529,1.0,0.04450261780104712,0.08521303258145364
7623747299428477864,0,166,53,53,0,113,0,0.6807228915662651,1.0,0.3192771084337349,0.4840182648401826
7625881216968920371,0,116,40,40,0,76,0,0.6551724137931034,1.0,0.3448275862068966,0.5128205128205129
