method,video_id,frames,segments,gt_lines,pred_lines,cer,precision,recall,f1,substitutions,deletions,insertions,errors,correct,gt_chars,pred_chars
ppocr_v4,7623635835480807921,92,48,21,48,0.5909090909090909,0.6285714285714286,1.0,0.7719298245614035,0,0,78,78,132,132,210
ppocr_v4,7623672029838108314,62,31,8,31,1.2432432432432432,0.4457831325301205,1.0,0.6166666666666667,0,0,46,46,37,37,83
ppocr_v4,7623747299428477864,183,65,26,65,0.6626506024096386,0.5992647058823529,0.9819277108433735,0.7442922374429223,2,1,107,110,163,166,272
ppocr_v4,7624158707772886307,61,39,27,39,1.481638418079096,0.38427810836204196,0.8665254237288136,0.5324365372098069,57,132,1909,2098,1227,1416,3193
ppocr_v4,7624365144738434356,185,92,20,92,1.3388429752066116,0.4275618374558304,1.0,0.599009900990099,0,0,162,162,121,121,283
ppocr_v4,7624365247414963496,180,17,55,17,0.8154981549815498,0.8888888888888888,0.2066420664206642,0.33532934131736525,1,214,6,221,56,271,63
ppocr_v4,7624367685719084323,209,102,42,102,0.9684684684684685,0.5080091533180778,1.0,0.6737481031866465,0,0,215,215,222,222,437
ppocr_v4,7624633114488433990,109,42,28,42,0.35195530726256985,0.7300215982721382,0.9441340782122905,0.8233861144945187,19,1,106,126,338,358,463
ppocr_v4,7624701545757957766,156,68,52,68,0.22846441947565543,0.8140243902439024,1.0,0.8974789915966386,0,0,61,61,267,267,328
ppocr_v4,7624835939831155313,82,14,1,14,10.571428571428571,0.08641975308641975,1.0,0.1590909090909091,0,0,222,222,21,21,243
ppocr_v4,7624978356999556392,30,13,3,13,0.8260869565217391,0.5476190476190477,1.0,0.7076923076923077,0,0,19,19,23,23,42
ppocr_v4,7625060323589901610,21,9,8,9,0.012195121951219513,0.9879518072289156,1.0,0.993939393939394,0,0,1,1,82,82,83
ppocr_v4,7625248139076178405,121,48,24,48,0.821917808219178,0.5471698113207547,0.9931506849315068,0.7055961070559611,1,0,119,120,145,146,265
ppocr_v4,7625253704698556297,21,4,3,4,0.3181818181818182,0.7777777777777778,0.9545454545454546,0.8571428571428572,0,1,6,7,21,22,27
ppocr_v4,7625261726909372089,95,50,34,50,0.8413793103448276,0.54,0.9310344827586207,0.6835443037974683,3,7,112,122,135,145,250
ppocr_v4,7625472985927237489,77,51,6,51,7.607142857142857,0.10504201680672269,0.8928571428571429,0.1879699248120301,3,0,210,213,25,28,238
ppocr_v4,7625525065970724069,148,74,40,74,0.2600896860986547,0.7928571428571428,0.9955156950672646,0.8827037773359839,1,0,57,58,222,223,280
ppocr_v4,7625577755723809649,216,90,32,90,0.6016597510373444,0.6243523316062176,1.0,0.7687400318979266,0,0,145,145,241,241,386
ppocr_v4,7625596895951342883,160,91,44,91,1.6625,0.3755868544600939,1.0,0.546075085324232,0,0,399,399,240,240,639
ppocr_v4,7625596926242589992,188,100,62,100,0.6948717948717948,0.5893939393939394,0.9974358974358974,0.7409523809523809,1,0,270,271,389,390,660
ppocr_v4,7625645779021057343,87,32,17,32,0.42592592592592593,0.6912751677852349,0.9537037037037037,0.8015564202334631,5,0,41,46,103,108,149
ppocr_v4,7625859506869685510,164,23,22,23,0.8389830508474576,0.33064516129032256,0.3474576271186441,0.33884297520661155,61,16,22,99,41,118,124
ppocr_v4,7625859643503381779,221,102,69,102,0.23821989528795812,0.8094218415417559,0.9895287958115183,0.8904593639575972,2,2,87,91,378,382,467
ppocr_v4,7625881216968920371,115,46,18,46,0.5517241379310345,0.6424581005586593,0.9913793103448276,0.7796610169491526,1,0,63,64,115,116,179
ppocr_v4,7625961573442537642,95,53,22,53,2.1363636363636362,0.3155339805825243,0.9848484848484849,0.47794117647058826,2,0,280,282,130,132,412
